_id,base_clock,boost_clock,brand,core,cpu,iGPU,keyword,socket,tdp,thread
,2.6,4.7,intel,10,i7-1255UL,Intel® Iris® Xe Graphics eligible,1255UL,FCLGA1700,15,12
,2.5,4.4,intel,10,i5-1245UL,Intel® Iris® Xe Graphics eligible,1245UL,FCLGA1700,15,12
,4.3,5.8,intel,24,i9-13900KF,None,13900KF,FCLGA1700,253,32
,3.3,4.5,intel,12,i5-12600HL,Intel® Iris® Xe Graphics eligible,12600HL,FCLGA1700,,16
,4.2,5.4,intel,16,i7-13700KF,None,13700KF,FCLGA1700,253,24
,3.9,5.1,intel,14,i5-13600K,Intel® UHD Graphics 770,13600K,FCLGA1700,181,20
,3.9,5.1,intel,14,i5-13600KF,None,13600KF,FCLGA1700,181,20
,4.0,5.0,intel,14,i7-13800HRE,Intel® Iris® Xe Graphics eligible,13800HRE,FCBGA1744,115,20
,3.6,4.8,intel,12,i5-13600HRE,Intel® Iris® Xe Graphics eligible,13600HRE,FCBGA1744,115,16
,2.5,4.4,intel,6,i3-1215UL,Intel® UHD Graphics for 12th Gen Intel® Processors,1215UL,FCLGA1700,15,8
,3.3,4.4,intel,8,i3-12300HL,Intel® UHD Graphics 730,12300HL,FCLGA1700,,12
,3.4,4.6,intel,8,i3-13300HRE,Intel® UHD Graphics for 13th Gen Intel® Processors,13300HRE,FCBGA1744,115,12
,3.4,4.6,intel,12,i5-1350PRE,Intel® Iris® Xe Graphics eligible,1350PRE,FCBGA1744,64,16
,3.3,4.5,intel,8,i3-1320PRE,Intel® UHD Graphics for 13th Gen Intel® Processors,1320PRE,FCBGA1744,64,12
,3.7,4.8,intel,14,i7-12800HL,Intel® Iris® Xe Graphics eligible,12800HL,FCLGA1700,,20
,4.3,5.8,intel,24,i9-13900K,Intel® UHD Graphics 770,13900K,FCLGA1700,253,32
,4.0,5.6,intel,24,i9-13980HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13980HX,FCBGA1964,157,32
,3.9,5.0,intel,24,i9-13900TE,Intel® UHD Graphics 770,13900TE,FCLGA1700,35,32
,4.0,5.5,intel,24,i9-13950HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13950HX,FCBGA1964,157,32
,4.1,5.4,intel,14,i9-13900HK,Intel® Iris® Xe Graphics eligible,13900HK,FCBGA1744,115,20
,3.9,5.3,intel,24,i9-13900T,Intel® UHD Graphics 770,13900T,FCLGA1700,106,32
,4.1,5.4,intel,14,i9-13905H,Intel® Iris® Xe Graphics eligible,13905H,FCBGA1792,115,20
,3.9,5.4,intel,24,i9-13900HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13900HX,FCBGA1964,157,32
,4.1,5.4,intel,14,i9-13900H,Intel® Iris® Xe Graphics eligible,13900H,FCBGA1744,115,20
,4.0,5.2,intel,24,i9-13900E,Intel® UHD Graphics 770,13900E,FCLGA1700,65,32
,4.2,5.6,intel,24,i9-13900F,None,13900F,FCLGA1700,219,32
,4.2,5.6,intel,24,i9-13900,Intel® UHD Graphics 770,13900,FCLGA1700,219,32
,4.0,5.0,intel,14,i7-13800HE,Intel® Iris® Xe Graphics eligible,13800HE,FCBGA1744,115,20
,3.8,5.3,intel,20,i7-13850HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13850HX,FCBGA1964,157,28
,3.7,4.8,intel,14,i7-1370PE,Intel® Iris® Xe Graphics eligible,1370PE,FCBGA1744,64,20
,3.6,4.8,intel,16,i7-13700TE,Intel® UHD Graphics 770,13700TE,FCLGA1700,35,24
,4.0,5.2,intel,14,i7-13800H,Intel® Iris® Xe Graphics eligible,13800H,FCBGA1744,115,20
